Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
45,14,5,46,0,Some Random Commen with Id 45
46,14,5,125,1,Some Random Commen with Id 46
47,14,5,62,1,Some Random Commen with Id 47
48,14,5,55,3,Some Random Commen with Id 48
49,15,4,162,3,Some Random Commen with Id 49
50,15,4,29,1,Some Random Commen with Id 50
51,15,4,121,1,Some Random Commen with Id 51
52,15,4,111,7,Some Random Commen with Id 52
53,15,4,120,5,Some Random Commen with Id 53
54,15,4,158,6,Some Random Commen with Id 54
55,16,2,43,5,Some Random Commen with Id 55
56,16,2,101,3,Some Random Commen with Id 56
57,16,2,144,5,Some Random Commen with Id 57
58,16,2,46,0,Some Random Commen with Id 58
59,17,6,105,1,Some Random Commen with Id 59
60,17,6,27,1,Some Random Commen with Id 60
61,17,6,96,1,Some Random Commen with Id 61
62,17,6,60,8,Some Random Commen with Id 62
63,17,6,132,0,Some Random Commen with Id 63
64,19,8,4,3,Some Random Commen with Id 64
65,19,8,106,4,Some Random Commen with Id 65
66,19,8,107,1,Some Random Commen with Id 66
67,19,8,42,3,Some Random Commen with Id 67
68,19,8,52,3,Some Random Commen with Id 68
69,19,8,112,3,Some Random Commen with Id 69
70,21,3,14,0,Some Random Commen with Id 70
71,21,3,198,2,Some Random Commen with Id 71
72,21,3,126,0,Some Random Commen with Id 72
73,23,0,148,6,Some Random Commen with Id 73
74,23,0,47,2,Some Random Commen with Id 74
75,23,0,156,0,Some Random Commen with Id 75
76,23,0,176,7,Some Random Commen with Id 76
77,23,0,62,8,Some Random Commen with Id 77
78,23,0,186,0,Some Random Commen with Id 78
79,23,0,70,1,Some Random Commen with Id 79
80,24,4,18,7,Some Random Commen with Id 80
81,24,4,108,6,Some Random Commen with Id 81
82,24,4,178,8,Some Random Commen with Id 82
83,24,4,41,2,Some Random Commen with Id 83
84,25,3,117,4,Some Random Commen with Id 84
85,25,3,197,4,Some Random Commen with Id 85
86,26,7,134,2,Some Random Commen with Id 86
87,26,7,63,7,Some Random Commen with Id 87
88,26,7,28,6,Some Random Commen with Id 88
89,26,7,63,4,Some Random Commen with Id 89
90,26,7,66,9,Some Random Commen with Id 90
91,26,7,38,5,Some Random Commen with Id 91
92,26,7,136,1,Some Random Commen with Id 92
93,26,7,35,9,Some Random Commen with Id 93
94,26,7,161,5,Some Random Commen with Id 94
95,28,8,169,5,Some Random Commen with Id 95
96,28,8,82,5,Some Random Commen with Id 96
97,28,8,115,7,Some Random Commen with Id 97
98,28,8,176,6,Some Random Commen with Id 98
99,28,8,148,9,Some Random Commen with Id 99
100,28,8,38,8,Some Random Commen with Id 100
101,29,2,80,4,Some Random Commen with Id 101
102,29,2,68,9,Some Random Commen with Id 102
103,30,3,114,4,Some Random Commen with Id 103
104,30,3,42,0,Some Random Commen with Id 104
105,31,4,135,0,Some Random Commen with Id 105
106,31,4,48,8,Some Random Commen with Id 106
107,31,4,145,6,Some Random Commen with Id 107
108,31,4,161,2,Some Random Commen with Id 108
109,31,4,161,6,Some Random Commen with Id 109
110,31,4,20,7,Some Random Commen with Id 110
111,31,4,95,1,Some Random Commen with Id 111
112,32,0,192,6,Some Random Commen with Id 112
113,32,0,30,5,Some Random Commen with Id 113
114,32,0,29,5,Some Random Commen with Id 114
115,32,0,116,9,Some Random Commen with Id 115
116,32,0,22,1,Some Random Commen with Id 116
117,33,0,154,4,Some Random Commen with Id 117
118,33,0,1,5,Some Random Commen with Id 118
119,33,0,9,3,Some Random Commen with Id 119
120,33,0,92,9,Some Random Commen with Id 120
121,33,0,145,4,Some Random Commen with Id 121
122,33,0,30,7,Some Random Commen with Id 122
123,33,0,49,6,Some Random Commen with Id 123
124,34,0,6,1,Some Random Commen with Id 124
125,34,0,63,9,Some Random Commen with Id 125
126,34,0,159,5,Some Random Commen with Id 126
127,34,0,22,5,Some Random Commen with Id 127
128,34,0,143,9,Some Random Commen with Id 128
129,34,0,67,5,Some Random Commen with Id 129
130,35,4,96,4,Some Random Commen with Id 130
131,35,4,196,4,Some Random Commen with Id 131
132,36,8,44,4,Some Random Commen with Id 132
133,36,8,45,5,Some Random Commen with Id 133
134,37,0,83,7,Some Random Commen with Id 134
135,37,0,71,5,Some Random Commen with Id 135
136,37,0,23,6,Some Random Commen with Id 136
137,37,0,184,3,Some Random Commen with Id 137
138,37,0,62,2,Some Random Commen with Id 138
139,37,0,25,1,Some Random Commen with Id 139
140,37,0,127,2,Some Random Commen with Id 140
141,37,0,56,4,Some Random Commen with Id 141
142,38,2,109,6,Some Random Commen with Id 142
143,38,2,56,3,Some Random Commen with Id 143
144,38,2,171,2,Some Random Commen with Id 144
145,38,2,38,7,Some Random Commen with Id 145
146,39,8,25,4,Some Random Commen with Id 146
147,39,8,2,3,Some Random Commen with Id 147
148,39,8,85,1,Some Random Commen with Id 148
149,39,8,69,1,Some Random Commen with Id 149
150,39,8,33,0,Some Random Commen with Id 150
151,39,8,81,2,Some Random Commen with Id 151
152,39,8,8,6,Some Random Commen with Id 152
